Time,Day,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
Evening,Monday,18-30,Male,Employee,1-2yr,Automobile,Owner,Residential areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,na,na,na,,,Not a Pedestrian,Moving Backward,Slight Injury
Evening,Monday,31-50,Male,Employee,Above 10yr,Public (> 45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,na,na,na,,,Not a Pedestrian,Overtaking,Slight Injury
Evening,Monday,18-30,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,  Recreational areas,other,,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,Male,31-50,3,Driver,,Not a Pedestrian,Changing lane to the left,Serious Injury
Night,Sunday,18-30,Male,Employee,5-10yr,Public (> 45 seats),Governmental,Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Night,Sunday,18-30,Male,Employee,2-5yr,Automobile,Owner, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,na,na,na,,,Not a Pedestrian,Overtaking,Slight Injury
Afternoon,Friday,31-50,Male,Unknown,5-10yr,Automobile,Owner,Other,,,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,Male,31-50,3,Driver,Normal,Not a Pedestrian,Overloading,Slight Injury
Evening,Wednesday,18-30,Male,Employee,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving backward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury
Evening,Friday,18-30,Male,Employee,2-5yr,Automobile,Governmental,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,na,na,na,,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Evening,Friday,18-30,Male,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner, Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,3,Driver,Normal,Crossing from driver's nearside,Changing lane to the right,Slight Injury
Evening,Friday,18-30,Male,Employee,1-2yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Turning,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
Afternoon,Saturday,18-30,Male,Owner,1-2yr,Public (13 - 45 seats),Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Turning,na,na,na,,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
Afternoon,Saturday,31-50,Male,Employee,No Licence,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
Evening,Thursday,18-30,Male,Employee,1-2yr,Public (> 45 seats),Owner,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Evening,Thursday,31-50,Male,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Stopping,na,na,na,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Evening,Thursday,31-50,Male,Employee,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
Night,Monday,18-30,Female,Employee,Above 10yr,Lorry (11 - 40 Quintal),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,na,na,,,Not a Pedestrian,No distancing,Serious Injury
Night,Monday,18-30,Male,Owner,5-10yr,Public (13 - 45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Night,Monday,18-30,Male,Employee,2-5yr,Public (13 - 45 seats),Owner,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
Night,Monday,18-30,Male,Employee,2-5yr,Automobile,Owner,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving backward,na,na,na,Unemployed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
Morning,Tuesday,18-30,Male,Employee,Below 1yr,Long lorry,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
Morning,Tuesday,Under 18,Male,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
