Time,Day,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
17:00:00,Monday,18-30,Male,Above high school,Employee,1-2yr,Automobile,Owner,Above 10yr,Residential areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,na,na,na,,,Not a Pedestrian,Moving Backward,Slight Injury
17:00:00,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,5-10yrs,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,na,na,na,,,Not a Pedestrian,Overtaking,Slight Injury
17:00:00,Monday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Unknown,  Recreational areas,other,,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,Male,31-50,3,Driver,,Not a Pedestrian,Changing lane to the left,Serious Injury
01:00:00,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Unknown,Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
01:00:00,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,na,na,na,,,Not a Pedestrian,Overtaking,Slight Injury
14:00:00,Friday,31-50,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,Unknown,Other,,,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,Male,31-50,3,Driver,Normal,Not a Pedestrian,Overloading,Slight Injury
17:00:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving backward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury
17:00:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Above 10yr,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,na,na,na,,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17:00:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner,1-2yr, Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,3,Driver,Normal,Crossing from driver's nearside,Changing lane to the right,Slight Injury
17:00:00,Friday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Turning,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
14:00:00,Saturday,18-30,Male,Above high school,Owner,1-2yr,Public (13 - 45 seats),Owner,Unknown,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Turning,na,na,na,,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
14:00:00,Saturday,31-50,Male,Above high school,Employee,No Licence,Automobile,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
17:00:00,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,2-5yrs,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
17:00:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Above 10yr,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Stopping,na,na,na,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17:00:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,1-2yr,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
22:00:00,Monday,18-30,Female,Junior high school,Employee,Above 10yr,Lorry (11 - 40 Quintal),Owner,Unknown,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,na,na,,,Not a Pedestrian,No distancing,Serious Injury
22:00:00,Monday,18-30,Male,Junior high school,Owner,5-10yr,Public (13 - 45 seats),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
22:00:00,Monday,18-30,Male,Elementary school,Employee,2-5yr,Public (13 - 45 seats),Owner,Unknown,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
22:00:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving backward,na,na,na,Unemployed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
08:00:00,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,5-10yrs,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
08:00:00,Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,Unknown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
15:00:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (11 - 40 Quintal),Owner,5-10yrs, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Animal Collision,1,1,Moving backward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Serious Injury
12:00:00,Thursday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Unknown,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Exiting,Female,31-50,3,Driver,Normal,Not a Pedestrian,Overloading,Serious Injury
12:00:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving backward,Male,18-30,3,Employee,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
18:00:00,Wednesday,18-30,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,Unknown,Residential areas,other,,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Animal Collision,2,3,Turning,na,na,na,Driver,Normal,Not a Pedestrian,Improper parking,Slight Injury
18:00:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Above 10yr,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,3,Moving forward,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Other,Slight Injury
18:00:00,Wednesday,18-30,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,3,Moving forward,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
14:00:00,Friday,18-30,Male,Above high school,Employee,2-5yr,Automobile,Owner,2-5yrs,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,1,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:00:00,Tuesday,Over 51,Unknown,Junior high school,Unknown,5-10yr,Automobile,Owner,Unknown,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,31-50,3,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
