Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,part_of_day
1900-01-01 20:00:00,Thursday,31-50,Male,Secondary education,Employee,1-2yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,18-30,na,Unknown,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 12:58:00,Thursday,18-30,Male,Primary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Recreational areas,other,Flat Road,No junction,Asphalt,Snow,Good lighting,Snowy,Vehicle with vehicle collision,2,5,Moving forward,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 00:25:00,Saturday,18-30,Male,Secondary education,Owner,2-5yr,Small Bus,Owner,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Human Error,Malam
1900-01-01 17:30:00,Tuesday,Over 51,Male,Secondary education,Employee,Above 10yr,Large Truck,Owner,Old Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Curved Road,Crossing,Asphalt,Wet or damp,Moderate lighting,Clear,Collision with roadside objects,2,1,Moving forward,Pedestrian,Male,Under 18,3,Self-employed,Normal,Unknown or other,Violation,Sore
1900-01-01 19:58:00,Tuesday,Over 51,Male,Secondary education,Employee,5-10yr,Car,Governmental,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,1,1,Stopping,Pedestrian,Female,18-30,3,Driver,Normal,Not a Pedestrian,Vehicle Issues,Malam
1900-01-01 22:45:00,Saturday,18-30,Male,Secondary education,Employee,1-2yr,Two-Wheeler,Owner,Moderate Vehicle,Public service areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Collision with roadside objects,2,4,Moving forward,Driver or rider,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 13:00:00,Tuesday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,New Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Gravel roads,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,3,Moving forward,Pedestrian,Male,18-30,3,Employee,Normal,Unknown or other,Human Error,Siang
1900-01-01 07:30:00,Wednesday,Over 51,Male,Secondary education,Employee,2-5yr,Small Bus,Owner,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Rollover,2,2,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 07:17:00,Wednesday,31-50,Male,Primary education,Owner,Above 10yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,O Shape,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Stopping,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 17:35:00,Thursday,Over 51,Male,Secondary education,Employee,2-5yr,Small Bus,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Other,No junction,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Junction movement,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 14:00:00,Saturday,18-30,Male,Secondary education,Employee,1-2yr,Large Truck,Owner,New Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,O Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 21:25:00,Monday,Under 18,Male,Secondary education,Owner,Below 1yr,Medium Truck,Owner,Moderate Vehicle,Public service areas,other,Flat Road,Y Shape,Gravel roads,Wet or damp,Moderate lighting,Rainy,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 21:50:00,Monday,18-30,Female,Secondary education,Employee,5-10yr,Large Bus,Owner,Old Vehicle,Residential areas,other,Flat Road,Y Shape,Gravel roads,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,3,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 06:20:00,Friday,31-50,Male,Secondary education,Owner,5-10yr,Car,Owner,Moderate Vehicle,Other,Double carriageway (median),Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 17:10:00,Tuesday,31-50,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Public service areas,Double carriageway (median),Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,3,4,Moving forward,Driver or rider,Male,18-30,na,Unemployed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 13:10:00,Monday,31-50,Male,Secondary education,Employee,2-5yr,Car,Owner,Old Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with pedestrians,2,1,Moving forward,Pedestrian,Male,Under 18,3,Other,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 19:12:00,Tuesday,31-50,Male,Secondary education,Employee,2-5yr,Large Bus,Owner,Moderate Vehicle,Public service areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,1,1,Stopping,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
