Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity
Evening,Dewasa,Male,Employee,1-2yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,3,Moving Backward,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Reckless Driving,Slight Injury
Evening,Dewasa,Male,Employee,1-2yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,3,Unsafe Lane Change,Serious Injury
Late Night,Dewasa,Male,Employee,5-10yr,Public Transport,Governmental,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,2-5yr,,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Dewasa,Male,Unknown,5-10yr,,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,3,Overloading & Overcapacity,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving backward,3,Other/Unknown,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Private Vehicle,Governmental,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,1-2yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Turning,3,Moving Backward,Serious Injury
Afternoon,Dewasa,Male,Owner,1-2yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Turning,3,Unsafe Lane Change,Serious Injury
