Time,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity,Day
17:00:00,Dewasa,Male,Above high school,Employee,1-2yr,Private Vehicle,Owner,Above 10yr,Residential areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,unknown,unknown,unknown,unknown,Not a Pedestrian,Moving Backward,Slight Injury,Monday
17:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,5-10yrs,Office areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,unknown,unknown,unknown,unknown,Not a Pedestrian,Speeding,Slight Injury,Monday
17:00:00,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,Unknown,Recreational areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,Male,31-50,3,unknown,Not a Pedestrian,Unsafe Lane Change,Serious Injury,Monday
01:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Public Transport,Governmental,Unknown,Office areas,other,Straight,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,Female,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Sunday
01:00:00,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,5-10yrs,Industrial areas,other,Straight,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,unknown,unknown,unknown,unknown,Not a Pedestrian,Speeding,Slight Injury,Sunday
14:00:00,Dewasa,Male,Junior high school,Unknown,5-10yr,Private Vehicle,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,Male,31-50,3,Normal,Not a Pedestrian,Overloading,Slight Injury,Friday
17:00:00,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,Unknown,Residential areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving backward,Female,18-30,3,Normal,Not a Pedestrian,Other,Slight Injury,Wednesday
17:00:00,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Governmental,Above 10yr,Residential areas,other,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Friday
17:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,1-2yr,Industrial areas,other,Straight,Y Shape,Earth roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,3,Normal,Crossing from driver's nearside,Unsafe Lane Change,Slight Injury,Friday
17:00:00,Dewasa,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,2-5yrs,Residential areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Turning,Male,18-30,3,Normal,Not a Pedestrian,Moving Backward,Serious Injury,Friday
