Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Day
17:00:00,18-30,Male,Employee,1-2yr,Private Vehicle,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,na,Moving Backward,Slight Injury,Monday
17:00:00,31-50,Male,Employee,Above 10yr,Public Transport,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,na,Speeding,Slight Injury,Monday
17:00:00,18-30,Male,Employee,1-2yr,Commercial Vehicle,Owner,  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,3,Unsafe Lane Change,Serious Injury,Monday
01:00:00,18-30,Male,Employee,5-10yr,Public Transport,Governmental,Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
01:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Owner, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,na,Speeding,Slight Injury,Sunday
14:00:00,31-50,Male,Unknown,5-10yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,3,Overloading,Slight Injury,Friday
17:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving backward,3,Other,Slight Injury,Wednesday
17:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Governmental,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,na,Priority Violation,Slight Injury,Friday
17:00:00,18-30,Male,Employee,Above 10yr,Commercial Vehicle,Owner, Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Friday
17:00:00,18-30,Male,Employee,1-2yr,Private Vehicle,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Turning,3,Moving Backward,Serious Injury,Friday
14:00:00,18-30,Male,Owner,1-2yr,Public Transport,Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Turning,na,Unsafe Lane Change,Serious Injury,Saturday
14:00:00,31-50,Male,Employee,No Licence,Private Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,3,Priority Violation,Serious Injury,Saturday
17:00:00,18-30,Male,Employee,1-2yr,Public Transport,Owner,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Moving forward,na,No Distance,Slight Injury,Thursday
17:00:00,31-50,Male,Employee,5-10yr,Commercial Vehicle,Owner,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Stopping,na,Priority Violation,Slight Injury,Thursday
17:00:00,31-50,Male,Employee,Above 10yr,Private Vehicle,Owner,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Moving forward,3,No Distance,Serious Injury,Thursday
22:00:00,18-30,Female,Employee,Above 10yr,Commercial Vehicle,Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,No Distance,Serious Injury,Monday
