Age_band_of_driver,Driving_experience,Road_surface_conditions,Light_conditions,Weather_conditions,Number_of_vehicles_involved,Number_of_casualties,Casualty_severity,Accident_severity,Sex_of_driver_Female,Sex_of_driver_Male,Sex_of_driver_Unknown,Type_of_vehicle_Commercial Vehicle,Type_of_vehicle_Non-Motorized,Type_of_vehicle_Other,Type_of_vehicle_Private Vehicle,Type_of_vehicle_Public Transport,Type_of_vehicle_Special Vehicle,Owner_of_vehicle_Governmental,Owner_of_vehicle_Organization,Owner_of_vehicle_Other,Owner_of_vehicle_Owner,Vehicle_driver_relation_Employee,Vehicle_driver_relation_Other,Vehicle_driver_relation_Owner,Vehicle_driver_relation_Unknown,Road_surface_type_Asphalt roads,Road_surface_type_Asphalt roads with some distress,Road_surface_type_Earth roads,Road_surface_type_Gravel roads,Road_surface_type_Other,Type_of_collision_kfold,Types_of_Junction_kfold,Lanes_or_Medians_kfold,Day_kfold,Cause_of_accident_kfold,Hour_kfold,Area_accident_occured_kfold,Road_allignment_kfold,Vehicle_movement_kfold
0,0,0,2,2,2,2,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8186666666666667,1.8094457199081666,1.828981723237598,1.8684014869888477,1.799342105263158,1.8588588588588588,1.8067278287461774,1.8341589997640952,1.8362339514978603
1,3,0,2,2,2,2,3,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8338945005611673,1.8078947368421052,1.8239600665557405,1.8571428571428572,1.7888675623800383,1.8634496919917864,1.83594604447685,1.828703156401466,1.8293031907282873
0,0,0,2,2,2,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8224811514736121,1.8163923846402066,1.8306636155606408,1.860759493670886,1.8310051107325382,1.8527291452111225,1.830827067669173,1.8349112426035503,1.835801765878667
0,2,0,0,2,2,2,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1.8419277785583814,1.8354603463992707,1.830289193302892,1.816131830008673,1.8358003442340791,1.837837837837838,1.8432727272727272,1.8438287153652393,1.8362339514978603
0,1,0,0,2,2,2,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8338945005611673,1.8263985205732778,1.8188073394495412,1.8177083333333333,1.7888675623800383,1.8198198198198199,1.8278688524590163,1.828703156401466,1.8293031907282873
1,2,0,2,2,1,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1.8338945005611673,1.8263985205732778,1.8292555960437271,1.8333333333333333,1.7380952380952381,1.8549323017408124,1.8315854410857495,1.828703156401466,1.808857808857809
0,1,0,2,2,1,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8396345748418834,1.877668782458165,1.8334981866139137,1.843814789219074,1.832,1.8527291452111225,1.8142589118198875,1.8349112426035503,1.8248772504091653
0,1,0,2,2,2,1,3,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1.8396345748418834,1.8322505800464037,1.8306636155606408,1.8300613496932516,1.8567656765676568,1.8527291452111225,1.8142589118198875,1.8349112426035503,1.8131067961165048
0,3,0,2,2,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1.8186666666666667,1.8354603463992707,1.830289193302892,1.8394607843137254,1.8358003442340791,1.8588588588588588,1.8524590163934427,1.8341589997640952,1.8362339514978603
0,0,0,2,2,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.826027397260274,1.8263985205732778,1.8239600665557405,1.8333333333333333,1.796276013143483,1.8634496919917864,1.8033472803347281,1.828703156401466,1.808857808857809
