Age_band_of_driver,Educational_level,Driving_experience,Service_year_of_vehicle,Number_of_vehicles_involved,Number_of_casualties,Age_band_of_casualty,Casualty_severity,Accident_severity,Sex_of_driver_Female,Sex_of_driver_Male,Sex_of_driver_Unknown,Vehicle_driver_relation_Employee,Vehicle_driver_relation_Other,Vehicle_driver_relation_Owner,Vehicle_driver_relation_Unknown,Owner_of_vehicle_Governmental,Owner_of_vehicle_Organization,Owner_of_vehicle_Other,Owner_of_vehicle_Owner,Road_surface_type_Asphalt roads,Road_surface_type_Asphalt roads with some distress,Road_surface_type_Earth roads,Road_surface_type_Gravel roads,Road_surface_type_Other,Road_surface_conditions_Dry,Road_surface_conditions_Flood over 3cm. deep,Road_surface_conditions_Snow,Road_surface_conditions_Wet or damp,Light_conditions_Darkness - lights lit,Light_conditions_Darkness - lights unlit,Light_conditions_Daylight,Sex_of_casualty_Female,Sex_of_casualty_Male,Sex_of_casualty_unknown,Fitness_of_casuality_Blind,Fitness_of_casuality_Deaf,Fitness_of_casuality_Normal,Fitness_of_casuality_Other,Fitness_of_casuality_unknown,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday,Time_encoded,Type_of_vehicle_encoded,Area_accident_occured_encoded,Lanes_or_Medians_encoded,Road_allignment_encoded,Types_of_Junction_encoded,Weather_conditions_encoded,Type_of_collision_encoded,Vehicle_movement_encoded,Cause_of_accident_encoded,Pedestrian_movement_encoded
0,0,0,3,2,2,4,3,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1.8588588588588588,1.8322114185988532,1.8067278287461774,1.828981723237598,1.8343999101830022,1.8094457199081666,1.8289620882535738,1.8186666666666667,1.8362339514978603,1.799342105263158,1.835566783831283
0,4,3,2,2,2,4,3,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1.8634496919917864,1.8288524590163935,1.83594604447685,1.8239600665557405,1.8294879009566685,1.8078947368421052,1.8243914555389966,1.8338945005611673,1.8293031907282873,1.7888675623800383,1.8317038339009117
0,4,0,5,2,2,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.8527291452111225,1.8232499208108963,1.830827067669173,1.8306636155606408,1.8345315659402381,1.8163923846402066,1.8271774394809084,1.8224811514736121,1.835801765878667,1.8310051107325382,1.8360241625480505
0,4,2,5,2,2,0,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.837837837837838,1.8347160178685387,1.8432727272727272,1.830289193302892,1.8343999101830022,1.8354603463992707,1.8289620882535738,1.8419277785583814,1.8362339514978603,1.8358003442340791,1.835566783831283
0,4,1,2,2,2,4,3,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1.8198198198198199,1.8303904501367818,1.8278688524590163,1.8188073394495412,1.8294879009566685,1.8263985205732778,1.8243914555389966,1.8338945005611673,1.8293031907282873,1.7888675623800383,1.8317038339009117
0,4,2,5,1,1,1,2,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1.8549323017408124,1.8303904501367818,1.8315854410857495,1.8292555960437271,1.8294879009566685,1.8263985205732778,1.8243914555389966,1.8338945005611673,1.808857808857809,1.7380952380952381,1.8317038339009117
0,4,1,5,1,1,0,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.8527291452111225,1.8366274706029522,1.8142589118198875,1.8334981866139137,1.8345315659402381,1.877668782458165,1.8271774394809084,1.8396345748418834,1.8248772504091653,1.832,1.8360241625480505
0,4,1,3,2,1,4,3,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1.8527291452111225,1.8366274706029522,1.8142589118198875,1.8306636155606408,1.8345315659402381,1.8322505800464037,1.8271774394809084,1.8396345748418834,1.8131067961165048,1.8567656765676568,1.8360241625480505
0,4,3,0,2,1,3,2,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1.8588588588588588,1.827140549273021,1.8524590163934427,1.830289193302892,1.8343999101830022,1.8354603463992707,1.8289620882535738,1.8186666666666667,1.8362339514978603,1.8358003442340791,1.7545454545454546
0,4,0,1,2,1,0,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1.8634496919917864,1.8303904501367818,1.8033472803347281,1.8239600665557405,1.8294879009566685,1.8263985205732778,1.8243914555389966,1.826027397260274,1.808857808857809,1.796276013143483,1.8317038339009117
0,0,0,5,2,1,4,3,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.8493975903614457,1.8268482490272373,1.8149253731343284,1.8356164383561644,1.8338205531819205,1.8109339407744875,1.82715281234445,1.7969924812030076,1.8065934065934066,1.832582322357019,1.8334981866139137
0,0,5,5,2,1,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.8549323017408124,1.8303904501367818,1.83594604447685,1.8239600665557405,1.8294879009566685,1.8078947368421052,1.8243914555389966,1.7925925925925925,1.8293031907282873,1.8479948253557568,1.8317038339009117
