Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Number_of_vehicles_involved_log,Number_of_casualties_log
17:02:00,Monday,Dewasa,Male,Above high school,Employee,1-2yr,Private Vehicle,Owner,Above 10yr,No defect,Residential areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,3,Moving Backward,Slight Injury,1.0986122886681096,1.0986122886681096
17:02:00,Monday,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,5-10yrs,No defect,Office areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Reckless Driving,Slight Injury,1.0986122886681096,1.0986122886681096
17:02:00,Monday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,,No defect,  Recreational areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,3,Unsafe Lane Change,Serious Injury,1.0986122886681096,1.0986122886681096
1:06:00,Sunday,Dewasa,Male,Junior high school,Employee,5-10yr,Public Transport,Governmental,,No defect,Office areas,Other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,1.0986122886681096
1:06:00,Sunday,Dewasa,Male,Junior high school,Employee,2-5yr,,Owner,5-10yrs,No defect, Industrial areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Reckless Driving,Slight Injury,1.0986122886681096,1.0986122886681096
14:15:00,Friday,Dewasa,Male,,Unknown,,,,,,,Other,Tangent road with flat terrain,Y Shape,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,3,Overloading & Overcapacity,Slight Injury,0.6931471805599453,0.6931471805599453
17:30:00,Wednesday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,,No defect,Residential areas,Other,Tangent road with flat terrain,Crossing,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,3,Other/Unknown,Slight Injury,0.6931471805599453,0.6931471805599453
17:20:00,Friday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Governmental,Above 10yr,No defect,Residential areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
17:20:00,Friday,Dewasa,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,1-2yr,No defect, Industrial areas,Other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
17:20:00,Friday,Dewasa,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,2-5yrs,No defect,Residential areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,3,Moving Backward,Serious Injury,1.0986122886681096,0.6931471805599453
