Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
17:02:00,Monday,Dewasa,Male,Above high school,Employee,1-2yr,Private Vehicle,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Moving Backward,Slight Injury
17:02:00,Monday,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,5-10yrs,No defect,Office areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Speeding,Slight Injury
17:02:00,Monday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,,No defect,  Recreational areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Male,31-50,3,unknown,Not a Pedestrian,Unsafe Lane Change,Serious Injury
1:06:00,Sunday,Dewasa,Male,Junior high school,Employee,5-10yr,Public Transport,Governmental,,No defect,Office areas,other,Straight,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Female,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
1:06:00,Sunday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,5-10yrs,No defect, Industrial areas,other,Straight,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Speeding,Slight Injury
14:15:00,Friday,Dewasa,Male,,Unknown,,Private Vehicle,,,,,Two-way (divided with broken lines road marking),Straight,Y Shape,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,Male,31-50,3,Normal,Not a Pedestrian,Overloading,Slight Injury
17:30:00,Wednesday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,,No defect,Residential areas,Undivided Two way,Straight,Crossing,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Female,18-30,3,Normal,Not a Pedestrian,Other,Slight Injury
17:20:00,Friday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Governmental,Above 10yr,No defect,Residential areas,other,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
17:20:00,Friday,Dewasa,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,1-2yr,No defect, Industrial areas,other,Straight,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Male,Under 18,3,Normal,Crossing from driver's nearside,Unsafe Lane Change,Slight Injury
17:20:00,Friday,Dewasa,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,Male,18-30,3,Normal,Not a Pedestrian,Moving Backward,Serious Injury
