Feature Selection,Model,CV Accuracy Mean,CV Accuracy Std,Accuracy,F1 Score
Baseline (No Selection),XGBoost,0.8464818385474144,0.0033622705537928164,0.85,0.8065751796157861
Baseline (No Selection),Random Forest,0.8481090431138171,0.0007350648207565694,0.8475609756097561,0.7799803854815084
Baseline (No Selection),Gradient Boosting,0.8494306979800861,0.002302688116518316,0.8463414634146341,0.7863801336805892
Baseline (No Selection),AdaBoost,0.8458723407772968,0.00017194274637204464,0.8459349593495935,0.7753317112558925
Baseline (No Selection),Extra Trees,0.848210875792032,0.0012833980317129283,0.8471544715447155,0.7797670936418679
Baseline (No Selection),Logistic Regression,0.4832233891733935,0.015245072109569149,0.46747967479674796,0.561720098891552
Baseline (No Selection),K-Nearest Neighbors,0.8297078626607313,0.004334305347455865,0.8239837398373984,0.7708560816369235
Baseline (No Selection),Decision Tree,0.7624036438635866,0.0029560022139973074,0.7780487804878049,0.7782423414332036
Lasso,XGBoost,0.84943054298362,0.0037460683366736663,0.8516260162601627,0.8112287916366392
Lasso,Random Forest,0.8411958907336914,0.004037840374960518,0.8382113821138212,0.7897746563996758
Lasso,Gradient Boosting,0.8505492558103007,0.001988561211468542,0.8479674796747968,0.7872836774709117
Lasso,AdaBoost,0.8458723407772968,0.00017194274637204464,0.8459349593495935,0.7753317112558925
Lasso,Extra Trees,0.8304192964400412,0.003480175052422685,0.8296747967479675,0.7887319972770062
Lasso,Logistic Regression,0.4944074691763694,0.012883245803814582,0.4902439024390244,0.5834525303997907
Lasso,K-Nearest Neighbors,0.8293009969372699,0.005030728596897836,0.832520325203252,0.7779673607798951
Lasso,Decision Tree,0.7617916144845231,0.011106860302504394,0.765040650406504,0.7690237511471811
PCA,XGBoost,0.8447541962709917,0.001240523203989828,0.8479674796747968,0.7881221621200193
PCA,Random Forest,0.8466857622312878,0.0008031129255682863,0.8459349593495935,0.7753317112558925
PCA,Gradient Boosting,0.8432292893722023,0.001656873480081456,0.843089430894309,0.7784640045455764
PCA,AdaBoost,0.8457706630955479,0.0002311600572084521,0.8459349593495935,0.7753317112558925
PCA,Extra Trees,0.8472957766562923,0.0010764961960956412,0.8459349593495935,0.7753317112558925
PCA,Logistic Regression,0.39894251077742093,0.012445376611668547,0.3861788617886179,0.4850704291505633
PCA,K-Nearest Neighbors,0.8272674433022928,0.0031256702947474843,0.8276422764227642,0.7742301513578732
PCA,Decision Tree,0.7422733745003948,0.007733585230878316,0.7528455284552845,0.7540871271632053
Random Forest Importance,XGBoost,0.8326558954455839,0.0026171030245734934,0.8365853658536585,0.7767288343479192
Random Forest Importance,Random Forest,0.8358076452523548,0.0030784299178036826,0.8345528455284553,0.7758003579696149
Random Forest Importance,Gradient Boosting,0.8444489565637904,0.0011597350578327864,0.8459349593495935,0.7768815435967579
Random Forest Importance,AdaBoost,0.8458723407772968,0.00017194274637204464,0.8459349593495935,0.7753317112558925
Random Forest Importance,Extra Trees,0.8271661789444533,0.004998583424406949,0.8203252032520325,0.7720717178589546
Random Forest Importance,Logistic Regression,0.30012249887369236,0.017518123193571645,0.2943089430894309,0.3945629174828564
Random Forest Importance,K-Nearest Neighbors,0.8262504081573606,0.006826222732583641,0.8276422764227642,0.7707970944839938
Random Forest Importance,Decision Tree,0.7190939629909772,0.009794320183453215,0.734959349593496,0.739483085736553
RFE,XGBoost,0.8313339305863826,0.0029853856255131353,0.8382113821138212,0.7771555750037842
RFE,Random Forest,0.84424570453127,0.0008108366981307183,0.8447154471544716,0.7770088908679876
RFE,Gradient Boosting,0.8445505825800504,0.0011828567785534757,0.8459349593495935,0.7761112735509149
RFE,AdaBoost,0.8458723407772968,0.00017194274637204464,0.8459349593495935,0.7753317112558925
RFE,Extra Trees,0.8387556263717186,0.0013366333037267992,0.8373983739837398,0.7746391327989582
RFE,Logistic Regression,0.31232185739498475,0.010009922337700511,0.30040650406504066,0.40416475426579107
RFE,K-Nearest Neighbors,0.8270633129564645,0.003806082515976974,0.8284552845528456,0.7721737917240966
RFE,Decision Tree,0.727429879598745,0.008730149549576549,0.7361788617886179,0.7414050141106926
