Feature Selection,Model,CV Accuracy Mean,CV Accuracy Std,Accuracy,F1 Score
Baseline (No Selection),XGBoost,0.8493288653018711,0.0033254581342150613,0.85,0.8029131089322262
Baseline (No Selection),Random Forest,0.8469907436110458,0.0008923081263426324,0.8471544715447155,0.7782623892498449
Baseline (No Selection),Gradient Boosting,0.8495323756618349,0.0015705234733719698,0.8459349593495935,0.7840429220397754
Baseline (No Selection),AdaBoost,0.8458723407772968,0.00017194274637204464,0.8459349593495935,0.7753317112558925
Baseline (No Selection),Extra Trees,0.8491258199313055,0.001012777604562972,0.8495934959349594,0.7854305599445864
Baseline (No Selection),Logistic Regression,0.4979661363720907,0.016215819598891276,0.4922764227642276,0.5857054415181654
Baseline (No Selection),K-Nearest Neighbors,0.8299109596967856,0.002824153687751941,0.8300813008130081,0.7776541431775189
Baseline (No Selection),Decision Tree,0.7545754440132099,0.010694921727949022,0.7670731707317073,0.7735411858679531
Lasso,XGBoost,0.8488203735621495,0.00323791975585009,0.8508130081300813,0.8019208880407778
Lasso,Random Forest,0.8468891175947855,0.0009633671543517732,0.8471544715447155,0.7782623892498449
Lasso,Gradient Boosting,0.8486174315225613,0.0024921183038863763,0.8479674796747968,0.7873030710336812
Lasso,AdaBoost,0.8458723407772968,0.00017194274637204464,0.8459349593495935,0.7753317112558925
Lasso,Extra Trees,0.849024090584068,0.00127423562061961,0.8475609756097561,0.7821784278205249
Lasso,Logistic Regression,0.4936959320660822,0.01817043952475349,0.5048780487804878,0.5965695957582262
Lasso,K-Nearest Neighbors,0.8282847367746682,0.0045959028994255096,0.8276422764227642,0.7752784223868279
Lasso,Decision Tree,0.7590490553482048,0.008839572067935517,0.7735772357723577,0.7782760994011994
PCA,XGBoost,0.8381451986228047,0.0038285313039157316,0.8390243902439024,0.7911489639241504
PCA,Random Forest,0.8423139835745077,0.0017399534111972694,0.8357723577235773,0.7758700364282928
PCA,Gradient Boosting,0.8438386321458538,0.0019119089491729723,0.8439024390243902,0.7802112721487562
PCA,AdaBoost,0.8450591259852608,0.0009597093699902161,0.8434959349593496,0.7748820928166031
PCA,Extra Trees,0.8367219694057642,0.003914858432071709,0.8264227642276423,0.7804395829254658
PCA,Logistic Regression,0.4802771646806453,0.018003221888731075,0.48048780487804876,0.5752233600595508
PCA,K-Nearest Neighbors,0.8296060816480051,0.002973330522458636,0.8284552845528456,0.7737857072033896
PCA,Decision Tree,0.7544743863173252,0.008769747746471764,0.7402439024390244,0.7417443829396766
Random Forest Importance,XGBoost,0.8405852046573339,0.003322719887162501,0.8439024390243902,0.7931552854066409
Random Forest Importance,Random Forest,0.8464824068677901,0.000892252883946219,0.8459349593495935,0.7768769507791569
Random Forest Importance,Gradient Boosting,0.8467872849165705,0.0020505274323461002,0.8463414634146341,0.7793452788045278
Random Forest Importance,AdaBoost,0.8458723407772968,0.00017194274637204464,0.8459349593495935,0.7753317112558925
Random Forest Importance,Extra Trees,0.8441440785150098,0.001481602293036408,0.8479674796747968,0.7840059971769984
Random Forest Importance,Logistic Regression,0.5322281568646903,0.014716334410974486,0.524390243902439,0.6127415345705292
Random Forest Importance,K-Nearest Neighbors,0.8264539701828131,0.0016127295160107765,0.8272357723577236,0.7724421905226809
Random Forest Importance,Decision Tree,0.7520323653287371,0.008005482369763117,0.7634146341463415,0.7602080280383632
RFE,XGBoost,0.8354003145394951,0.002731868689195518,0.8373983739837398,0.7739499394568414
RFE,Random Forest,0.8432290827102475,0.0009752111650840522,0.8426829268292683,0.7744725282260584
RFE,Gradient Boosting,0.8448556672907858,0.0007391960707295981,0.8455284552845529,0.7751298305934602
RFE,AdaBoost,0.8458723407772968,0.00017194274637204464,0.8459349593495935,0.7753317112558925
RFE,Extra Trees,0.8341809056753504,0.0018262637109304058,0.8373983739837398,0.7770580924669509
RFE,Logistic Regression,0.46929845499522604,0.01824727530486829,0.45934959349593496,0.5643637334358799
RFE,K-Nearest Neighbors,0.8248267139509219,0.003358134647899399,0.8292682926829268,0.7764274581551516
RFE,Decision Tree,0.7253976692664741,0.008340732317152355,0.7300813008130081,0.7369647518354455
